2021-06-16 19:34:59,839 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:34:59,839 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:35:01,502 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:35:01,523 | INFO | cocotb | Step 67
2021-06-16 19:35:01,527 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:35:01,528 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:35:03,358 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:35:03,383 | INFO | cocotb | Step 68
2021-06-16 19:35:03,384 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:35:03,385 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:35:04,382 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:35:04,397 | INFO | cocotb | Step 69
2021-06-16 19:35:04,399 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:35:04,399 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:35:05,875 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:35:05,897 | INFO | cocotb | Step 70
2021-06-16 19:35:05,898 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:35:05,901 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:35:06,881 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:35:06,893 | INFO | cocotb | Step 71
2021-06-16 19:35:06,895 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:35:06,895 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:35:07,352 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:35:07,359 | INFO | cocotb | Step 72
2021-06-16 19:35:07,361 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:35:07,364 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:35:09,345 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:35:09,375 | INFO | cocotb | Step 73
2021-06-16 19:35:09,377 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:35:09,378 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:35:11,094 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:35:11,125 | INFO | cocotb | Step 74
2021-06-16 19:35:11,129 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:35:11,129 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:35:13,224 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:35:13,267 | INFO | cocotb | Step 75
2021-06-16 19:35:13,271 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:35:13,272 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:35:14,449 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:35:14,463 | INFO | cocotb | Step 76
2021-06-16 19:35:14,465 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:35:14,465 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:35:14,784 | INFO | cocotb | Waiting for rl step or rl reset 
