2021-08-02 22:44:46,905 | INFO | cocotb | Step 57
2021-08-02 22:44:46,911 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:44:46,913 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:44:48,467 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:44:48,484 | INFO | cocotb | Step 58
2021-08-02 22:44:48,486 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:44:48,487 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:44:48,869 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:44:48,873 | INFO | cocotb | Step 59
2021-08-02 22:44:48,875 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:44:48,875 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:44:48,899 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:44:48,900 | INFO | cocotb | Step 60
2021-08-02 22:44:48,905 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:44:48,906 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:44:52,872 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:44:53,023 | INFO | cocotb | Step 61
2021-08-02 22:44:53,029 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:44:53,034 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:44:56,681 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:44:56,709 | INFO | cocotb | Step 62
2021-08-02 22:44:56,712 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:44:56,713 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:44:56,860 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:44:56,863 | INFO | cocotb | Step 63
2021-08-02 22:44:56,865 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:44:56,866 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:44:58,723 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:44:58,736 | INFO | cocotb | Step 64
2021-08-02 22:44:58,738 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:44:58,738 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:45:01,036 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:45:01,084 | INFO | cocotb | Step 65
2021-08-02 22:45:01,087 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:45:01,088 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:45:01,687 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:45:01,700 | INFO | cocotb | Step 66
2021-08-02 22:45:01,705 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:45:01,706 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:45:06,673 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:45:06,735 | INFO | cocotb | Step 67
2021-08-02 22:45:06,738 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:45:06,739 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:45:09,937 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:45:10,007 | INFO | cocotb | Step 68
2021-08-02 22:45:10,021 | INFO | cocotb | Waiting for rl step after rl reset 
