2021-08-02 21:21:23,636 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:21:23,670 | INFO | cocotb | Step 43
2021-08-02 21:21:23,672 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:21:23,672 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:21:26,509 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:21:26,550 | INFO | cocotb | Step 44
2021-08-02 21:21:26,553 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:21:26,553 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:21:27,644 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:21:27,658 | INFO | cocotb | Step 45
2021-08-02 21:21:27,661 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:21:27,661 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:21:29,962 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:21:30,013 | INFO | cocotb | Step 46
2021-08-02 21:21:30,017 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:21:30,018 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:21:33,292 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:21:33,345 | INFO | cocotb | Step 47
2021-08-02 21:21:33,350 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:21:33,351 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:21:35,359 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:21:35,390 | INFO | cocotb | Step 48
2021-08-02 21:21:35,393 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:21:35,394 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:21:38,278 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:21:38,312 | INFO | cocotb | Step 49
2021-08-02 21:21:38,316 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:21:38,316 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:21:39,535 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:21:39,548 | INFO | cocotb | Step 50
2021-08-02 21:21:39,552 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:21:39,553 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:21:40,131 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:21:40,137 | INFO | cocotb | Step 51
2021-08-02 21:21:40,142 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:21:40,143 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:21:42,610 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:21:42,642 | INFO | cocotb | Step 52
2021-08-02 21:21:42,646 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:21:42,648 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:21:42,694 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:21:42,695 | INFO | cocotb | Step 53
2021-08-02 21:21:42,697 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:21:42,698 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:21:44,808 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:21:44,859 | INFO | cocotb | Step 54
2021-08-02 21:21:44,862 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:21:44,863 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:21:48,192 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:21:48,228 | INFO | cocotb | Step 55
2021-08-02 21:21:48,230 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:21:48,231 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:21:51,040 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:21:51,076 | INFO | cocotb | Step 56
2021-08-02 21:21:51,080 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:21:51,081 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:21:53,402 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:21:53,457 | INFO | cocotb | Step 57
2021-08-02 21:21:53,462 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:21:53,463 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:21:56,653 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:21:56,693 | INFO | cocotb | Step 58
2021-08-02 21:21:56,696 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:21:56,696 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:21:59,029 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:21:59,057 | INFO | cocotb | Step 59
2021-08-02 21:21:59,060 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:21:59,060 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:22:00,849 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:22:00,876 | INFO | cocotb | Step 60
2021-08-02 21:22:00,880 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:22:00,880 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:22:01,291 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:22:01,297 | INFO | cocotb | Step 61
2021-08-02 21:22:01,300 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:22:01,300 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:22:04,701 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:22:04,742 | INFO | cocotb | Step 62
2021-08-02 21:22:04,745 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:22:04,746 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:22:05,657 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:22:05,670 | INFO | cocotb | Step 63
2021-08-02 21:22:05,674 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:22:05,674 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:22:07,849 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:22:07,893 | INFO | cocotb | Step 64
2021-08-02 21:22:07,897 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:22:07,897 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:22:08,650 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:22:08,660 | INFO | cocotb | Step 65
2021-08-02 21:22:08,663 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:22:08,664 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:22:10,150 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:22:10,168 | INFO | cocotb | Step 66
2021-08-02 21:22:10,171 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:22:10,172 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:22:13,395 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:22:13,433 | INFO | cocotb | Step 67
2021-08-02 21:22:13,436 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:22:13,436 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:22:17,573 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:22:17,619 | INFO | cocotb | Step 68
2021-08-02 21:22:17,621 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:22:17,622 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:22:19,929 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:22:19,982 | INFO | cocotb | Step 69
2021-08-02 21:22:19,985 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:22:19,986 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:22:24,038 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:22:24,097 | INFO | cocotb | Step 70
2021-08-02 21:22:24,100 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:22:24,101 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:22:25,685 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:22:25,709 | INFO | cocotb | Step 71
2021-08-02 21:22:25,711 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:22:25,712 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:22:28,698 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:22:28,735 | INFO | cocotb | Step 72
